1363157985066 	13726230503	00-FD-07-A4-72-B8:CMCC	2481	24681
1363157995052 	13826544101	5C-0E-8B-C7-F1-E0:CMCC	2644	120
1363157991076 	13926435656	20-10-7A-28-CC-0A:CMCC	1342	1512
1363154400022 	13926251106	5C-0E-8B-8B-B1-50:CMCC	2450	103
1363157993044 	18211575961	94-71-AC-CD-E6-18:CMCC	1527	2106
1363157993055 	13560439658	C4-17-FE-BA-DE-D9:CMCC	1116	954
1363157995033 	15920133257	5C-0E-8B-C7-BA-20:CMCC	3156	2936
1363157983019 	13719199419	68-A1-B7-03-07-B1:CMCC	2450	4067
1363157984041 	13660577991	5C-0E-8B-92-5C-20:CMCC	6960	690
1363157973098 	15013685858	5C-0E-8B-C7-F7-90:CMCC	3659	3538
1363157986029 	15989002119	E8-99-C4-4E-93-E0:CMCC	1938	180
1363157992093 	13560439658	C4-17-FE-BA-DE-D9:CMCC	1138	4938
1363157986041 	13480253104	5C-0E-8B-C7-FC-80:CMCC	1820	1840
1363157984040 	13602846565	5C-0E-8B-8B-B6-00:CMCC	1938	2910
1363157995093 	13922314466	00-FD-07-A2-EC-BA:CMCC	3008	3720
1363157982040 	13502468823	5C-0A-5B-6A-0B-D4:CMCC	7335	11049
1363157986072 	18320173382	84-25-DB-4F-10-1A:CMCC	9531	2412
1363157990043 	13925057413	00-1F-64-E1-E6-9A:CMCC	1058	48243
1363157988072 	13760778710	00-FD-07-A4-7B-08:CMCC	1020	12605
1363157985066 	13726238888	00-FD-07-A4-72-B8:CMCC	2481	24681
1363157993055 	13560436666	C4-17-FE-BA-DE-D9:CMCC	1116	9546
